GeneID,Name,Description
AT5G59780,MYB59,myb domain protein 59
AT5G59800,MBD7,methyl-CPG-binding domain 7
AT5G59820,RHL41,C2H2-type zinc finger family protein
AT5G59990,AT5G59990,CCT motif family protein
AT5G60100,PRR3,pseudo-response regulator 3
AT5G60120,TOE2,target of early activation tagged (EAT) 2
AT5G60130,AT5G60130,AP2/B3-like transcriptional factor family protein
AT5G60140,AT5G60140,AP2/B3-like transcriptional factor family protein
AT5G60142,AT5G60142,AP2/B3-like transcriptional factor family protein
AT5G60410,SIZ1,"DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain-containing protein"
AT5G60450,ARF4,auxin response factor 4
AT5G60470,AT5G60470,C2H2 and C2HC zinc fingers superfamily protein
AT5G60480,HB26,homeobox protein 26
AT5G60690,REV,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT5G60830,bZIP70,basic leucine-zipper 70
AT5G61190,AT5G61190,putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein
AT5G61380,TOC1,CCT motif -containing response regulator protein
AT5G61420,MYB28,myb domain protein 28
AT5G61430,NAC100,NAC domain containing protein 100
AT5G61470,AT5G61470,C2H2-like zinc finger protein
AT5G61620,AT5G61620,myb-like transcription factor family protein
AT5G61850,LFY,floral meristem identity control protein LEAFY (LFY)
AT5G61890,AT5G61890,Integrase-type DNA-binding superfamily protein
AT5G62000,ARF2,auxin response factor 2
AT5G62110,AT5G62110,Homeodomain-like superfamily protein
AT5G62320,MYB99,myb domain protein 99
AT5G62470,MYB96,myb domain protein 96
AT5G62610,AT5G62610,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G62920,ARR6,response regulator 6
AT5G63080,AT5G63080,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G63090,LOB,Lateral organ boundaries (LOB) domain family protein
AT5G63160,BT1,BTB and TAZ domain protein 1
AT5G63260,AT5G63260,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G63280,AT5G63280,C2H2-like zinc finger protein
AT5G63420,emb2746,RNA-metabolising metallo-beta-lactamase family protein
AT5G63470,NF-YC4,"nuclear factor Y, subunit C4"
AT5G63700,AT5G63700,zinc ion binding / DNA binding protein
AT5G63900,AT5G63900,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein
AT5G63920,TOP3A,topoisomerase 3alpha
AT5G63950,CHR24,chromatin remodeling 24
AT5G64220,AT5G64220,Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain
AT5G64340,SAC51,transcription factor SAC51
AT5G64530,XND1,xylem NAC domain 1
AT5G64610,HAM1,histone acetyltransferase of the MYST family 1
AT5G64750,ABR1,Integrase-type DNA-binding superfamily protein
AT5G64810,WRKY51,WRKY DNA-binding protein 51
AT5G64811,,
AT5G64920,CIP8,COP1-interacting protein 8
AT5G64950,AT5G64950,Mitochondrial transcription termination factor family protein
AT5G65060,MAF3,K-box region and MADS-box transcription factor family protein
AT5G65070,MAF4,K-box region and MADS-box transcription factor family protein
AT5G65100,AT5G65100,Ethylene insensitive 3 family protein
AT5G65230,MYB53,myb domain protein 53
AT5G65320,AT5G65320,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G65410,HB25,homeobox protein 25
AT5G65490,AT5G65490,suppressor-like protein
AT5G65640,bHLH093,beta HLH protein 93
AT5G65670,IAA9,indole-3-acetic acid inducible 9
AT5G65910,AT5G65910,BSD domain-containing protein
AT5G66160,RMR1,receptor homology region transmembrane domain ring H2 motif protein 1
AT5G66270,AT5G66270,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G66350,SHI,Lateral root primordium (LRP) protein-like protein
AT5G66610,DAR7,DA1-related protein 7
AT5G66620,DAR6,DA1-related protein 6
AT5G66630,DAR5,DA1-related protein 5
AT5G66730,IDD1,C2H2-like zinc finger protein
AT5G66750,CHR1,chromatin remodeling 1
AT5G66770,AT5G66770,GRAS family transcription factor
AT5G66870,ASL1,ASYMMETRIC LEAVES 2-like 1
AT5G66980,AT5G66980,AP2/B3-like transcriptional factor family protein
AT5G66990,RKD3,RWP-RK domain-containing protein
AT5G67010,AT5G67010,Integrase-type DNA-binding superfamily protein
AT5G67030,ABA1,zeaxanthin epoxidase (ZEP) (ABA1)
AT5G67110,ALC,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G67180,TOE3,target of early activation tagged (EAT) 3
AT5G67300,MYBR1,myb domain protein r1
AT5G67411,AT5G67411,GRAS family transcription factor
AT5G67420,LBD37,LOB domain-containing protein 37
AT5G67430,AT5G67430,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT5G67450,ZF1,zinc-finger protein 1
AT5G67480,BT4,BTB and TAZ domain protein 4
AT5G67580,TRB2,Homeodomain-like/winged-helix DNA-binding family protein
ATMG00940,ORF164,DNA binding protein
